,text,Sentiment
45,'🔴 “تنكرت بالعباءة والنقاب أثناء احتجازها ” .. كورونا يضع فاشينيستا كويتية شهيرة وشقيقتها في ورطة! https://t.co/bivEbTjuug',0
46,' دراسة تكشف الفيتامين الواجب تناوله خلال نظام العزل الذاتي من كورونا https://t.co/dC3td7i3rz',0
47,'جامع تدعو مشروعات النقل لتحويل سياراتها للعمل بالغاز لمواجهة كورونا https://t.co/Gq2IchJCZX',0
48,'كورونا لم يمنع زوج إيطالي من فعل هذا الأمر لزوجته في عيد زواجهما الخمسين ! https://t.co/HT03T9Lbo1',0
49,'@Ebnelkhattab لسه شايفة المنشن هههههههههههه عليها براءة محصلتش.. قال اجازة كورونا سعيدة ههههههه عيال عسل',1
50,'الدراسات تخبرنا بالتالي:  حجم فيروس الانفلونزا 130 مايكرو حجم فيروس كورونا يتراوح ما بين 60 الى 140 نانومتر  * الكم… https://t.co/XIk8GrCyn3',0
51,'لم نجد دراسة تحكي ان الكمامات تمنع كورونا 100% انما تمنع جزء قليل من تلك الفيروسات فقط اي انها تمنع الفائض عن ال 5… https://t.co/7zvLRxogVE',0
52,'الاسبوع الماضي تم حذف ما لا يقل عن عشرة آلاف فيديو من اليوتيوب حيث تظهر المستشفيات وممرضيها واطباءها وهم يرقصون من… https://t.co/3hNYfRmELT',0
53,'#Coronavirus | La pandémie continue de générer une avalanche de haine et de xénophobie.  « on désigne des boucs émi… https://t.co/XSkaHx4zgb',-1
54,'البرازيل تسجل 9888 اصابة بفيروس كورونا',0
55,"'VIDEO. Avec sa dernière œuvre, Banksy rend hommage aux soignants https://t.co/jfjQ9L9SXg via @20minutes'",1
56,'La KNK Nouvelle-Calédonie est un Covid free country. Elle doit adhérer à la Covid free bubble du Pacifique Sud… https://t.co/ytj1VKMD7S',0
57,'يمه من جد هالشهر شهر التعاونات شسالفه يا جماعه كورونا لا تجتمعون',-1
58,'روابط 76 مقالة نشرتها كوة حول كورونا https://t.co/DrOS20zcvo',0
59,'اكيد يجب عليه احترام القانون والنظام',1
60,'@s4a8r9a2 كورونا',0
61,'اليوم قرات تقرير ان الموز ينفع علاج لمرض كورونا  و قلت في نفسي من غيرك يا موز يعالج ما استعصى 😜😜',0
62,'اي في انت وشواربك العفنه',-1
63,'الصين: لا وفيات بفيروس كورونا وتسجيل حالة إصابة واحدة محلية https://t.co/A4vamkbKoI https://t.co/G9z4x0qGqK',0
64,'قالت منظمة أطباء بلا حدود إنها تواجه خلال جائحة كورونا خمسة تحديات في أكبر مخيم للاجئين في العالم، مخيمات اللاجئين… https://t.co/rURoWiAR0J',0
65,'تنفيذاً لتوجيهات وزارة الداخلية رجال الأمن يبدأون في تطبيق لائحة الحد من التجمعات التي تسهم في تفشي ونقل فيروس كورو… https://t.co/XvDwzbRiIs',0
66,'تكفووووون العمر راح https://t.co/ldllHWM4ht',-1
67,"'أكل الأحذي والجلوس في بيتك  ,بغير لغاجة وقلت عقل , جاء يقلي كيف نقهر كورونا 🚬🐸  #جعل_لعريج_العماء 🐸'",-1
68,'Révolte.',-1
69,'Le coronavirus pèse lourd sur le budget bruxellois: «On a déjà dépensé plus de 300 millions».… https://t.co/PxqWFNhhhI',0
70,'البرازيل تسجل 9888 اصابة بفيروس كورونا #ليبانون_ديبايت',0
71,'Top story: Info Coronavirus COVID-19 - Stratégie de déconfinement | https://t.co/LrUjh06DRl https://t.co/OsIORQ2lmt… https://t.co/hxmS20GTsX',0
72,'اياد بيضاء هنا وهناك 🇸🇦  الدكتور هاني الجهني ومن مستشفى كولمار في #فرنسا يتمكن  من إزالة ورم دماغي لشابة كويتية بعد… https://t.co/7aMeP7YhWk',0
73,'#السنه_الجديده تصفحت هاهنا👆 الكثيرون كتبوا عن طموحهم وأمالهم وخططهم 💔  فجتاحتنا #كورونا  اسال الله ان يعوضهم بخير ويسعدهم في قادم الايام 😥',-1
74,'@majedah_alsh @nightlove30 @AiiiA_111 تعرفي مع جائحة كورونا فيه ضغط على كل شركات التوصيل و الشحن بس ما تتأخر قرابة أسبوع',0
75,'@n_a84o الله يرحم الشهداء .بصح نورمالمو كورونا قتلت اكتر من 100 الف و تفووووو على خرنسا',-1
76,'لا يكفي بأن تكون قوياً حين يكون بجانبك من تحب فقط، بل يجب عليك أن تتعلّم مُسبقاً كيف تكون كذلك بدونه أيضاً، و أن لا… https://t.co/5NfBdrt8bN',1
77,"'Déconfiner le Bas-Rhin, une « pure folie » pour le président du département https://t.co/p5IwNxLuNb via @20minutes'",0
78,'💡تحديث الخميس 7 مايو الساعة 4م:  📈 الرسم البياني لعدد حالات #كورونا في السعودية.  (اللهم إني أعوذ بك من البرص والجن… https://t.co/zyKzzCufkZ',0
79,'لماذا يمتنع عبد الملك الحوثي عن إعلان حظر التجوال وإغلاق الأسواق للحد من انتشار فيروس كورونا ..تعرف على السبب الرئي… https://t.co/mfZHSEBesa',0
80,"'Québec et 🇺🇲, même combat...'",0
81,'لهم التحية فهم خط دفاع أول لتبقى البسمة حاضرة على الوجوه أبناء الوطن والمقيمين فيه.  دفاعآ دون بنادق بل الأمل والوف… https://t.co/tuwmJqiWZm',1
82,'@yahyoon_riyami العيد الماضي كان بعد رمضان بيوم حب عاد ماعرف ذا العيد يمكن يتأجل عشان كورونا',-1
83,'@Aido_Tweet La perte de l’odorat et du goût sont deux symptômes du coronavirus. Confinement total et si aggravation… https://t.co/nfm9qC4BVe',0
84,'الشعب #اليمني يشتي له علامات لفيروس #كورونا مثل بقرة بني اسرائيل . علشان يصدق ان #كورونا موجود أنتبه على نفسك والازم بيتك',-1
85,'كورونا رجل الصحه  ورجل الأمن كلهم ضحوا بصحتهم من أجل سلامة المواطن والمقيم... أقل مكافئه لهم ادعوا لهم في هذا الشهر… https://t.co/MyBDuxDbo5',0
86,'ليش وايجي الملعون ما يعطي تشايسو اي شي وش يسوون بشركه تماثيل انقهرت اليوم يوم شفت ترويجات البينكز جيسو ١٨ وروزي١٦…… https://t.co/VJ4qFqPdzE',-1
87,'المنافقين مرتزقة تحالف العدوان خدام ترامب والصهاينة  الله سبحانة توعد هم بعذاب في الدنيا وخزي  قبل عذاب الآخرة  ياح… https://t.co/2SVRp8ETEP',-1
88,"'🔒 Précise et prudente, Claire Landais a répondu aux questions des élus sur la préparation des services de l’État fa… https://t.co/eQKvE2SLwZ'",0
89,'#JORF #coronavirus encore un décret 📜 de dérogation au principe de suspension des délais pendant la période d'urgen… https://t.co/Q1K7GUfSRk',0
90,'«#كورونا تفضل المدخنين»..#جمال_شعبان : المدخنون أكثر عرضة للإصابة بـ #كورونا  https://t.co/hPr8ILVrQF https://t.co/9JCQDGT4pV',0
91,'فيروس كورونا  ينفي ما تم  تداولة من شائعات عن وجود وزارة الصحة في مصر  #خليكم_في_البيت https://t.co/YOzFVleD3d',-1
92,'@fruitycherriesx بس لو افترضنا انه ما لقوا حل  احتمال اني اموت من كورونا اكبر من اني اموت من شربه كلوركس وحده صح 🤔🌚',-1
93,'#الأردن يعلن تسجيل 29 إصابة جديدة بفيروس كورونا #صدي_السعودية   https://t.co/6R9jKEd6Za',0
94,"'Détecté dans du sperme, le coronavirus est-il aussi une MST ? https://t.co/slbGkJAOyY via @cnews'",0
95,'#كورونا اللهم في هذا الصباح المبارك.. ارفع عنا هذا الوباء.. وجعلنا من عبادتك الصالحين صاحب حالتنا رجل مستقيم نحسبه… https://t.co/lxkJR0tFa0',0
96,'الرئيس السيسي يصدر تعديلات قانون الطوارئ لمواجهة آثار كورونا https://t.co/H9cnWqvl31',0
97,'دكتور أنطوني فاوتشي نعم ؟! لا تستغربوا ان قلنا لكم أن هذا الشخص 👇 هو من طور وصنع وباء #كورونا  كوفيد 19 بمباركة من… https://t.co/N2RpB9tbTq',0
98,'تعرف على اقتراحات وزارة التربية والتعليم للنظام الدراسى الجديد فى ضوء كورونا - https://t.co/9fIcOImVYO #youm7 خطة ا… https://t.co/MOo8iU8QEQ',0
99,'@44R4444 لا صدق الله ياخذ كورونا',-1
100,'#Coronavirus | La pandémie continue de générer une avalanche de haine et de xénophobie.  « On désigne des boucs émi… https://t.co/QPOjSrTmoT',-1
101,'كلمه توجهينها لخريجين كورونا — والله ياانكم صلف  https://t.co/2lbG1JlCx3',-1
102,'«الاتصالات» تتيح استخدام «توكلنا» مجاناً عبر جميع المشغلين #عكاظ #ان_تكون_اولا #تطبيق_توكلنا #كورونا  @CITC_SA… https://t.co/KAFOBl3e7i',0
103,'ان جاني كورونا اول وحده اجيج انتيي 😍',0
104,'@hanandeh_razan كلو من كورونا ابن التشلب',-1
105,"'Revue de presse du jeudi 7 mai 2020. Le président de la République, Félix Tshisekedi, visitera, sauf changement de… https://t.co/98XcG4uCfV'",-1
106,'يرى الجسم القضائي في تونس أن الحكومة تحاول إستغلال الفرصة وظرف #كورونا لتمرير مراسيم وأوامر غير دستورية  الرابط الب… https://t.co/gvpGfFbAGC',0
107,'#هاني_الجهني @DrHaniAljohani   جراح سعودي يعمل في مستشفى #كولمار في #فرنسا نجح في إزالة ورم دماغي لفتاة من #الكويت… https://t.co/aGAk4XAthD',0
108,"'UPDFR | Coronavirus: l'Indonésie redoute des millions de nouveaux pauvres: Pour la première fois depuis 1998, la Ba… https://t.co/9RmasBivaP'",0
109,'UPDFR | Réouverture du Mississippi: l'État le plus pauvre d'Amérique commence à lever le verrouillage ...: L'État m… https://t.co/6V61PitvcH',-1
110,'@News_Ejazah اكيد كل شي لن يعود كما كان قبل كورونا توفير بدائل لكل شي حتى تفكيرنا لم يعود كما كان قبل كورونا رُب ضا… https://t.co/o4bltE5NvC',0
111,'كثروا من طاريه وخلوني أشوف اسمه بكل مكان، عشان ما أنسَ أكمل أدعي عليه الظالم',-1
112,'وزيرة الصحة: شكرا 8k',1
113,'@alolbah32 @sho0oq_20 جلوسك بالبيت يوقف انتشار عدوى فيروس كورونا بإذن الله   #مسابقة_تنمية_العلبة    https://t.co/FYG9xuOfnw',0
114,'ما بنصح حدا يحضر الفيديو،  شي ببكي قد ما كنت قوي،  ولوووه ما قدرت كفي من اول الفيديو  والله مسنتاهل اكتر من كورونا https://t.co/x7LD8i7lqV',-1
115,'يارب 🍃 بعد ازمة #كورونا يرجع الخير للدنيا أكثر من أول والعالم يصير أفضل .. والمسلمين يحسون ببعضهم أكثر وأكثر .. وال… https://t.co/QZbXBUGHgA',1
116,'@A_Bukhamsin منطقهم هو أن كورونا سببها هيئة الترفيه وفي عهد الملك عبدالله ماكان فيه كورونا',0
117,'@si_xs9 كورونا',0
118,'حديث عذب',1
119,'تكلمت من قبل عن سيناريوات عودة الاقتصاد بعد ازمة كورونا وحسب الاوبئة السابقة كان الاقتصاد يتعافى بشكل V بمعنى انه ي… https://t.co/PPBdsXeKUG',0
120,'كورونا 5G',0
121,'مستشار الرئيس: نتفاوض للحصول على عقار «ريمديسيفير» لعلاج كورونا https://t.co/xAxYHHIxgH',0
122,"'Peu importe la stratégie Québécoise, les fédéraux se complaisent toujours dans le dénigrement du Québec; Pierre Éll… https://t.co/bMpdEAKUSy'",0
123,'Covid_19 : leur alimentation riche en chloroquine protège les indiens d'Amazonie https://t.co/TrgJVhQmh5 via @SecretNewsInfo',0
124,'@alolbah32 جلوسك بالبيت يوقف انتشار عدوى فيروس كورونا بإذن الله   #مسابقة_تنمية_العلبة    https://t.co/FYG9xuOfnw',0
125,'خلاص حور حبيبتي تقبلي أمر الواقع .. بان كورونا والوضع الحالي سيتمر إلى آجل غير مسمى أتركي عنج الانتظار .   - أهم شي… https://t.co/DGIQZjbu1S',0
126,'Coronavirus en direct : l’Europe en pleine pandémie célèbre les 75 ans de la fin de la guerre https://t.co/cME80zZ3Ul',1
127,"'#coronavirus""Indépendamment de savoir si l’épidémie de #COVID19 est naturelle ou a été provoquée, elle offre l’occa… https://t.co/vhOpIvnOjr'",0
128,'🇸🇦 ثقة سعودية 🇸🇦 أصالة سعودية 🇸🇦 مهارة سعودية 🇸🇦 قيمةٌ سعودية #السعودية #كورونا #يوم_الجمعة',1
129,"'https://t.co/t2fD1HArpY paix aux morts soignants,condoléances aux familles et proches @Europe1  #radioouverte… https://t.co/zVeiL6ELwG'",0
130,'@Harbi52399965 حاول تقرأ  https://t.co/snZFD0nmfp',0
131,'شنو خلصت ازمة #كورونا ؟',0
132,"'Et pourquoi cela, @BouetP ?  Peut-on savoir ?'",0
133,'@A_Bukhamsin منطقهم هو أن كورونا سببها هيئة الترفيه وفي عهد الملك عبدالله ماكان فيه هيئة ترفيه بالتالي مافيه كورونا',0
134,'اللهم صل وسلم وبارك على نبينا محمد وعلى آله وصحبه وسلم تسليما كثيرا   #الحظر_الكلي #مبارك_الكبير #نبي_الجهراء_صفر… https://t.co/voYcLPd014',1
135,'Coronavirus en direct : l’Europe en pleine pandémie célèbre les 75 ans de la fin de la guerre @lemondefr  https://t.co/8MVnTGZqyG',0
136,'@smah_Al_Rw @voman72 الله يخارجنا من الفيروسات كورونا وحوثونا',-1
137,'اكون بكده رتبت حياتي كلها الين 30 سنه قدام :.🤣👌🏼',1
138,'#تسهيل_الزواج_من_اجنبيه3 اتركو المحىْه عنكم شوي لين ننفك من كورونا',0
139,'وزير المالية الأردني: عجز الميزانية سيزيد مليار دينار بسبب تداعيات كورونا  https://t.co/pg7hAPTCgs https://t.co/0HMKaRS40z',0
140,'قالوا كورونا انتشر .... قلت كل شيء بقدر قالوا وباء خطير ... قلت ربي على كل شيء قدير قالوا أغلقت المساجد ... قلت سأظ… https://t.co/jwlJOvH6vC',1
141,'@iwameq الله ينتقم من كورونا ويهدّي الشوق.',-1
142,'جسمي حيل حار مو قادر انام مدري هو كورونا ولا من العشق !!',0
143,'@TafaAlah بجد برافوا...فكر مرتب وتسلسل إحترافى..على فكره أنا برضو فكرت ف موضوع قضية السرقه إنه سهل جدا يطلع منها لأ… https://t.co/bgsaXVMSSO',1
144,'سوس البلاء منكم الله ينتقم منكم',-1
145,'لا اصل لقولهم انتهاء الوباء تماما فكوفيد-19 ظهر ولن يختفي الجنوب الكوري مثلا خرج من بؤرة الوباء من اوائل اذار مارس… https://t.co/X2KKyCm9wo',0
146,'📌متحدث الوزراء: ارتداء الكمامة الفترة المقبلة إجباريا..وعقوبات لغير الملتزمين  #كورونا  #فيروس_كورونا  https://t.co/xIQJGtCPZV📌',0
147,'ياربي بروف الجاك كويس ولا جاتو كورونا',0
148,'@mona22as يعني انا حظي جاي في الا بيقع. 😭 طيب هاقولك علي حاجة ما نخليه اشتغل في الكلور والمطهرات وقت الكورونا والظه… https://t.co/CyOJJmCVkw',-1
149,'✅ وصف الخطوة الصينية بـ شعوذة مبتدئ.. عالم فرنسي يكشف المصدر الحقيقي لفيروس كورونا https://t.co/sy98sKOVgk',0
150,'@JOREEHSROOR لو يطلعوا احسن... ويكنسلوا العقد.. لان سالفة كورونا مطوّله ... ولين تخلص الازمة ياخذوا سكن غير',-1
151,"'Pour info, @ordre_medecins'",0
152,'هالفترة كارهتها ما اشم ريحتها ولا اشم ريحته كsم كورونا وخر عني اللي احبهم💔😔',-1
153,'بسم الله نبدأ حظر ١٤ يوم',0
154,"'""مفاجأة صادمة"" بوفيات #كورونا في #بريطانيا.. هؤلاء يموتون أكثر https://t.co/z9N6Cm1z27  #وفيات_كورونا #كورونا… https://t.co/D8eAq681C2'",0
155,'حدا يخبر هالمجنونه انو المسيح ما قال كرهوا الإسلام و إنو الأكثريه بلبنان اسلام ومن زمان عم يتنفسوا مش عن جديد وإنو… https://t.co/PMyTbWS94T',-1
156,"'China, U.S. Teams Agree to Work to Implement Trade Deal  الصين و أمريكا يسعون لتطبيق اتفاقية التجارة المبرمة بداية… https://t.co/TLZM3wBxj1'",0
157,'حمدلله على السلامة، عافاك الله.  مشكلة #كورونا أن فترة التعافي له طويلة ولا يمكن التنبؤ بها، حتى لو المريض يدون أعر… https://t.co/yDccMqO5bh',1
158,"'La Chine annonce officiellement 17 nouveaux cas de coronavirus SARS-CoV-2 :  - 1 cas symptomatique (dont 0 ""importé… https://t.co/RM03Dp7M9i'",0
159,'@doaashehata19 والدول بتدعم ده اكبر مثال أزمة كورونا دي قوليلي كده دكاترة استفادوا منها مثلا !! روحي شوفي مستشفيات… https://t.co/ijdegJsIzD',0
160,'دول فرضت قانون إلزام إستخدام الكمام سواء كان مصاباً أم لا . إستطاعت الحد من إنتشاره بنسبة 90% ومنها النمسا .  وعندن… https://t.co/K8xxFn7Eds',0
161,'@mQi2020 تفاءلوا كورونا ع نهايته',1
162,'@baarood0 كورونا 🤪🏃🏻‍♀️',1
163,'@Mohd_311 @bo_mohsin_ هو يلقاها من كورونا ولا من حمد !!  ضاع الولد .',-1
164,'@Zainab64765907 @KararAldulaymi اعادة تموضع وهاي كل فترة يسوون هذا الموضوع بس برايي سحب القوات الان بسبب كورونا ، ل… https://t.co/WygrlUN4vs',0
165,'بدري !! كورونا يترعرع بيننا اكثر من شهرين ودحين نقول #الكمامة_للجميع !!',0
166,'macron  EdouardPhilippe  insoumis  cgtcheminots  melanchon  HopitalPublic   Coronavirus  cgtenergie   BFMTV  LCI… https://t.co/n9Ww8YaoVs',0
167,'احسه سعيد وهو يتكلم عن وضع كورونا وانه قاعد يتحسن وبعد فترة بيقدر يقابل الالف 😭😭😭💙 https://t.co/8yryiXUpbW',0
168,"'VIDEO. ""Je ne pouvais pas aller ailleurs"" : victime du Covid-19, un membre du Conseil scientifique soigné dans son… https://t.co/BXhk6MLOLo'",0
169,'شاهد: كيف تصل طرود البريد السعودي لأصحابها في ظل أزمة كورونا https://t.co/4YwqgiGZ8z',0
170,'Coronavirus : premier pont humanitaire européen en direction de l'Afrique https://t.co/0Lz8Em3oFJ',0
171,"'(France Bleu): #Coronavirus : Au service de réanimation du #CHR d'Orléans, la vague passée les soignants restent au… https://t.co/tEV3fJed7C'",0
172,'أعظم وأجمع دعاء   #الجمعه #يوم_الجمعة  #الصلاه_علي_النبي  #كورونا #كورونا_المستجد #كوفيد_19  #COVID19 #Covid_19 https://t.co/qtrmYttFdx',1
173,"'#PharmaSuccess : @Le___Doc: '#Coronavirus 178 décès en 24 heures, et pas vraiment de baisse du nombre des entrées e… https://t.co/NMuZB9juqG'",0
174,'#Coronavirus #Guyane : trois nouveaux cas de Covid-19 ce jeudi 7 mai annonce le Covid info https://t.co/NeithwFOBc',0
175,'اول ما بدت كورونا كنت بواعد جد رفيجتي قالت انتي مجنونة والله قلت عادي شفيها قلفز و ماسك و نتنايh بس ما صارت😔',-1
176,'#الصين تسجل إصابة واحدة جديدة بفيروس #كورونا و16 حالة دون أعراض https://t.co/n8lpbOLdHx',0
177,'كيف ظهر فيروس #كورونا وانتقل من الوطواط إلى الإنسان؟  الرابط البديل: https://t.co/qJZpQwfFuV  #معاً_نعزل_كورونا https://t.co/Mvg8cWm51T',0
178,'هل يمكن أن تتغير الصورة النمطية للإسلام والمسلمين بعد انتهاء جائحة #كرونا ؟  وكيف أسهمت التعاليم الإسلامية في الحد… https://t.co/LV0EzsX4qb',0
179,'كلام صحيح فهم أشد كفرا ونفاقا',-1
180,'Crédit Agricole S.A. encaisse le choc du #coronavirus #CréditAgricole https://t.co/cBL2ZG4xmv #Banque #ResultatsCA https://t.co/yyqhzpkrnH',0
181,'@bintmubarak الله يخليه لج ويوفقه هو وجميع من وقف وقفة الابطال في مواجهة جائحة كورونا  والكويت فعلا تستاهل 💙',1
182,'من طلع كورونا و الناس كليوم تطلع اشاعة حسبالهم فن بروحنا مو ناقصين اسهدوا🙂',-1
183,'الأمم المتحدة تطلب 6.7 مليار دولار لمساعدة الدول الفقيرة فى مواجهة كورونا https://t.co/9jsyVRlsbn #جريدة_الشعلة_الإلكترونية',0
184,'@roma202007 ههههههههه خايفين يقربو منها على شان العدوى الله يجيرنا واياكم من كورونا',0
185,"'Des sportifs français pensent avoir été atteints par le coronavirus dès octobre à Wuhan, en Chine https://t.co/NfsTJbtJw0 via @franceinfo'",0
186,'@tsm_122 @JU_1ll شكلك تبين كورونا',0
187,'الدراما #السعودية.. للخلف در  #عكاظ #كورونا  #ان_تكون_اولا  @20_Anas  https://t.co/D5IdcKQ8qc https://t.co/pUPxXveq8m',0
188,'اليمنيين مصدقين أن فيه كنز في الاتاريك القاز،  ومصدقين انه فيه صياد آخر الليل ، ومصدقين أن كوكب بيفلت عليه البريك و… https://t.co/auq06nphp3',0
189,'ده انا مرة وانا ماشي دوست علي رجل القطة الي عندي من غير قصدي وفضلت طول اليوم مضايق وبراقبها وهي ماشية اشوفها بتعرج… https://t.co/lBLCiLPSOg',-1
190,'حال الشعب اليمني مع تفشي فيرس كورونا  مثل حال بني أسرائيل مع نبي الله موسى  (قالوا لن نؤمن لك حتى نرى الله جهرة فأخ… https://t.co/fh5PiziY1M',-1
191,'تنفيذاً لتوجيهات وزارة الداخلية رجال الأمن يبدأون في تطبيق لائحة الحد من التجمعات التي تسهم في تفشي ونقل فيروس كورو… https://t.co/vJ6v6wOGZx',0
192,'@w6ne_7r لا محاكم ولا نيابه  كل وافد يشتغل ف بلده والكويتين سيكوتون لكويت شرق غرب شمال جنوب   اما ف حاجتهم مستشارين… https://t.co/I2spBzPG8S',0
